08:34:20 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:34:39 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:34:39 AM: DEBUG [logging_bar.py:15] Metodo tomar_taza_cafe
08:34:39 AM: DEBUG [logging_bar.py:15] Metodo servir_taza_cafe
08:45:31 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:45:57 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:46:24 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:46:33 AM: INFO [logging_bar.py:19] (<Taza_cafe.Taza_cafe object at 0x00000175949AFA90>,)
08:47:24 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:47:28 AM: INFO [logging_bar.py:19] (None,)
08:47:36 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:47:38 AM: INFO [logging_bar.py:19] (None,)
08:48:25 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:48:39 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:48:53 AM: INFO [logging_bar.py:19] (None,)
08:48:53 AM: INFO [logging_bar.py:19] (None,)
08:48:53 AM: INFO [logging_bar.py:19] (None,)
08:48:53 AM: INFO [logging_bar.py:19] (None,)
08:48:53 AM: INFO [logging_bar.py:19] (None,)
08:49:17 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:49:23 AM: INFO [logging_bar.py:19] (None,)
08:53:35 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:54:02 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:55:10 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:56:11 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
08:58:04 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:00:27 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:01:34 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:01:49 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:04:36 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:04:39 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:04:46 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:04:48 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:04:53 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:04:55 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:05:14 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:05:42 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:06:00 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:06:18 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:06:21 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:06:25 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:06:27 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:07:42 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:07:46 AM: INFO [logging_bar.py:19] (36,)
09:07:46 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:08:21 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:08:26 AM: INFO [logging_bar.py:19] (88,)
09:10:27 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:10:30 AM: INFO [logging_bar.py:19] (17,)
09:11:37 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:11:39 AM: INFO [logging_bar.py:19] (64,)
09:11:39 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto',)
09:11:44 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:11:47 AM: INFO [logging_bar.py:19] (90,)
09:13:00 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:13:04 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto, su temperatura es de 33',)
09:13:15 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:13:18 AM: INFO [logging_bar.py:19] ('El cafe esta perfecto, su temperatura es de 44',)
09:13:21 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
09:16:23 AM: INFO [logging_bar.py:19] ('name:', 'utils.logging_bar')
